,label,"First 5 Principal Components of Local Phase Quantization (LPQ) features
Local Phase Quantization (LPQ) features",,,,,First 5 Principal Components of Pyramid of Histogram of Gradients (PHOG) features,,,,
ItsComplicated_000857887_00000009.mat,4,-0.0016104,-0.011373,0.0020959,-0.01051,0.0011528,-0.0018071,0.0039278,-0.0054058,-0.010035,0.0017252
ItsComplicated_000857887_00000049.mat,4,0.0023013,-0.013755,0.017603,-0.02113,-0.0027249,0.0057175,-0.0059783,-0.0089194,0.0051321,-0.0029019
ItsComplicated_000857887_00000064.mat,4,-0.0019821,-0.0088601,-0.0007985,-0.0062051,0.00085442,0.00082739,0.0062735,-0.0017634,-0.0068169,0.00027079
ItsComplicated_000901567_00000001.mat,4,-0.0026216,-0.012349,-0.012654,-0.0011707,-0.001288,-0.0066368,0.0092554,-0.0068712,-0.0036859,0.0010276
ItsComplicated_000901567_00000010.mat,4,-0.00042319,-0.0058874,-0.012556,-0.0020802,0.0010202,0.00054711,0.010288,-0.00062001,-0.0007102,0.001336
ItsComplicated_000934247_00000054.mat,4,-0.0015687,-0.015891,-0.0052736,-0.002149,0.00034496,-0.003153,0.0087502,-0.0014196,-0.005027,0.0035191
ItsComplicated_000934247_00000061.mat,4,-0.0014474,-0.011993,-0.0023946,-0.0023136,0.00063343,-0.0019371,0.006078,-0.0048619,-0.0043399,0.0020986
ItsComplicated_001122327_00000063.mat,4,-0.0012855,-0.0070541,-0.0031929,-0.010894,0.0023292,0.0085468,-0.0062437,0.0038406,0.0036422,-0.00039064
ItsComplicated_001242687_00000009.mat,4,-0.009394,0.0054906,-0.035967,0.034256,0.010156,-0.011081,-0.0083636,0.0032696,0.0036683,-0.0087263
ItsComplicated_001339967_00000001.mat,4,-0.0029339,-0.017988,-0.011594,-0.0020351,0.0018784,-0.0087925,0.0070805,-0.0052514,-0.00038172,-0.00018824
ItsComplicated_001345207_00000009.mat,4,-0.0023281,-0.0025945,-0.011218,0.0033884,-0.0043153,-0.0032741,0.0067002,-0.0035844,-0.000728,0.0011563
ItsComplicated_002226767_00000006.mat,4,-0.0046356,-0.012259,-0.017561,0.0037721,-0.006764,0.0013657,0.0080528,0.0026832,-0.0049988,-0.0051962
ItsComplicated_002723007_00000001.mat,4,-0.0035932,0.0028999,-0.0051302,0.00057766,0.012309,-0.0035419,-0.0053437,0.0083254,-0.0027392,-0.00072883
ItsComplicated_003055687_00000001.mat,4,0.0004309,-0.015364,0.002508,-0.0077025,-0.0067583,-0.0057576,-0.0078613,-0.0045082,-0.0012268,-0.0012149
ItsComplicated_003142087_00000025.mat,4,-0.00093382,-0.0035393,0.00086839,-0.0075282,0.0018641,-0.0054812,0.0022331,0.0086164,-0.0011892,0.0087707
ItsComplicated_003351367_00000050.mat,4,-0.0030156,-0.0063688,0.0010395,-0.0021142,0.0029515,0.0082887,0.0033661,-0.0059226,0.0019783,0.0021706
ItsComplicated_003438887_00000014.mat,4,-0.0035855,-0.0012891,-0.0054234,-0.013901,-0.0017646,-0.00091527,0.0023961,4.85E-05,-0.0042741,-0.00077087
ItsComplicated_003539527_00000001.mat,4,-0.0039295,-0.007287,-0.0030841,-0.012868,0.0037033,-0.0033975,0.0077573,-0.0042881,-0.0060323,0.0029338
ItsComplicated_003722087_00000001.mat,4,-0.0015649,-0.0067528,-0.010692,-0.0016068,-0.00081976,0.0054257,0.0081386,-0.0017908,-0.0024692,0.00069272
ItsComplicated_004336847_00000046.mat,4,-0.0037741,-0.013989,-0.0089991,-0.0060262,0.00077591,-0.0061067,0.0068163,3.83E-05,-0.0022975,0.0030159
ItsComplicated_004431287_00000016.mat,4,-7.67E-05,-0.011574,-0.0026378,-0.010285,-0.0029971,-0.0082524,0.010115,0.0049346,0.0021781,0.0095331
ItsComplicated_010310407_00000010.mat,4,-0.0040559,-0.017003,-0.0074376,0.0018178,0.0013515,-0.010785,0.004048,0.0065957,-0.0030587,-0.002902
ItsComplicated_011058967_00000001.mat,4,-0.0044824,-0.0015809,-0.0053135,-0.011181,0.007355,-0.0073492,0.00094841,0.0082913,0.00156,0.0057012
ItsComplicated_011340288_00000001.mat,4,-0.00035961,-0.0058687,-0.008229,-0.0057945,0.0023505,0.001048,0.0019284,-0.004316,-0.0071784,0.0042611
ItsComplicated_011340288_00000042.mat,4,-0.0024586,-0.0065521,-0.0049991,-0.0056145,0.0035534,-0.0014606,-0.0026736,0.0012513,-0.0039675,0.005227
ItsComplicated_011526007_00000005.mat,4,-0.00035037,0.0062364,-0.0069013,-0.0072441,0.0036408,0.0019004,0.0047153,0.0015644,0.0021962,-0.00098593
ItsComplicated_013327047_00000001.mat,4,-0.001788,0.0099929,-0.0037576,-0.0084628,0.0025866,0.001474,0.0012809,-0.0038967,-0.0093779,-0.0012991
JennifersBody_000812598_00000014.mat,4,-0.0045933,0.0073585,-0.0051658,-0.0021471,0.0035716,0.0032882,0.0015089,0.0070889,0.00040613,0.0044612
Juno_000826560_00000003.mat,4,-0.0028615,0.011851,0.0050981,0.0074956,0.00058191,0.0052552,-0.00070532,0.0046513,0.0051671,2.44E-05
Juno_004717160_00000065.mat,4,-0.0029399,-0.018137,-0.0046075,-0.0079956,-0.00068522,0.0034853,0.001669,0.0035325,-0.0067463,-0.0020368
LittleManhattan_002723534_00000012.mat,4,-0.0037461,-0.0093104,-0.0039039,0.00077276,-0.0010592,-0.010938,0.0014959,0.0021954,-0.0012911,-0.0047325
LittleManhattan_005419923_00000001.mat,4,-0.0035319,0.0011054,-0.0065643,-0.0063618,-0.00073874,0.0081849,-0.0011445,0.0085206,-0.0028607,8.95E-05
LittleManhattan_010258723_00000016.mat,4,-0.0029446,-0.030859,-0.00023008,0.0072235,-0.0029783,-0.0087217,0.0020306,-0.0054188,0.0045827,-0.0036964
LittleManhattan_010710723_00000012.mat,4,-0.0029903,-0.020336,-0.00031738,0.0066488,-0.00071447,-0.0063083,0.0026107,0.0034036,-0.0093898,-0.0026977
LittleManhattan_011720723_00000039.mat,4,-0.0041187,-0.0051387,0.020116,0.00863,0.015492,0.011628,0.00051793,-0.0070192,0.0032884,0.0028568
MissMarch_000257240_00000013.mat,4,-0.00014556,-0.0068374,0.0061805,0.0016933,-0.0070007,-0.0010274,-0.0097021,0.0063051,-0.0029262,0.00063495
MissMarch_000257240_00000027.mat,4,-0.0012902,-0.0045544,0.0065391,-0.0020044,-0.0025228,-4.28E-05,-0.011068,-0.000848,-0.0027988,0.0010984
MissMarch_002459400_00000059.mat,4,-0.0038523,-0.0029952,-0.0022668,0.0046613,0.013151,-0.0095562,-0.00076425,0.0021369,-5.30E-05,0.0025118
MissMarch_002459400_00000076.mat,4,-0.0038258,0.00085928,-0.0088327,-0.002351,0.008836,-0.0071967,0.0029105,0.0057397,0.00059747,0.0086845
MissMarch_002459400_00000095.mat,4,-0.0031008,-0.0063784,0.010837,-0.00039577,0.0090236,-0.0025106,-0.00013734,-0.0049495,0.0013202,0.0070402
MissMarch_003648600_00000008.mat,4,-0.0059039,-0.0056556,-0.0092152,0.0066244,0.00071436,0.0010011,0.00132,-0.0013616,-0.0045713,-0.0032267
MissMarch_004713360_00000025.mat,4,-0.0039883,0.03954,-0.0014978,0.0057685,0.0016067,0.011659,0.0016293,-0.0020771,-0.0046361,-0.0021076
MissMarch_005203360_00000029.mat,4,-0.0045995,0.012944,-0.017796,0.0094305,0.0090309,-0.0089218,-0.0071118,-0.0040277,-0.001356,-0.0042519
NanyDiaries_000247920_00000016.mat,4,-0.0046278,0.039082,-0.0084674,0.00494,0.0037103,-0.0029787,-0.0027638,0.0028594,0.0047577,-0.0030774
NanyDiaries_000247920_00000036.mat,4,-0.0040588,0.031961,-0.016339,0.0077353,0.0063925,-0.005929,-0.0036837,0.0052039,0.0059342,-0.0080104
NanyDiaries_000851240_00000043.mat,4,-0.0053619,-0.016187,-0.0011689,0.00065985,0.00082621,-0.001707,0.0027403,0.0017026,-0.0032212,0.010039
NanyDiaries_000853240_00000023.mat,4,-0.0055437,0.0021189,-0.012475,0.0094155,0.00067134,0.0061362,0.013611,0.0052,-0.0034235,-0.0028771
NanyDiaries_001215160_00000005.mat,4,-0.005638,-0.011975,-0.01055,-0.00058992,0.0072014,-0.007469,0.0075629,-0.00038869,-0.002765,0.010887
NanyDiaries_001215160_00000017.mat,4,-0.0035983,-0.0031679,-0.0044888,-0.0021876,0.003728,-0.0010988,0.0060333,0.005537,-0.0025628,0.011144
NanyDiaries_003141960_00000054.mat,4,-0.00074823,-0.0071403,0.0011096,-0.0035133,0.0045961,-0.003519,-0.0066612,0.0071336,-0.0062845,-0.0070464
NanyDiaries_003917840_00000034.mat,4,-0.0029639,-0.0023869,0.0077848,0.00086673,0.01126,6.05E-05,-0.0017631,0.0088236,-0.0065485,0.004767
NanyDiaries_004712280_00000001.mat,4,-0.0039645,-0.0037188,-0.0061358,-0.0031073,0.005763,-0.00062309,0.0080446,-0.0026801,0.00045627,0.0011665
50_50_001910760_00000015.mat,5,-0.0034451,-0.028802,-0.0031434,0.0060253,0.0048232,-0.011435,-0.0036111,0.0004139,-0.0018751,-0.0082707
ACaseofYou_004206880_00000005.mat,5,-0.0054476,0.0083804,-0.010509,0.0061762,-0.0023729,0.010358,0.011358,0.00025025,1.03E-05,-0.003571
AlexEmma_000846120_00000041.mat,5,-0.0017388,-0.0083307,0.0024435,0.0026986,-0.0078251,0.012453,0.0053268,-0.0039695,0.0053889,0.0064282
AlexEmma_001806960_00000100.mat,5,0.00057092,0.01025,0.0026212,-0.014645,0.0014652,-0.0017115,-0.0048082,-0.00082654,-0.005869,-0.002121
AlexEmma_002324880_00000032.mat,5,-0.0031929,0.012882,0.003641,-0.0029233,-0.0039876,0.0081503,0.0056636,0.00043577,-0.005719,-0.0029417
AlexEmma_003734360_00000070.mat,5,-0.00074425,0.0074048,-0.010433,-0.012682,0.0013781,0.0086323,-0.0075432,0.0017738,-0.0038881,0.0048946
AlexEmma_004337800_00000005.mat,5,-0.0050768,-0.014709,-0.0078348,0.0061929,-0.007538,0.006789,0.012747,-0.01021,-0.0042107,0.0013999
AlexEmma_004337800_00000015.mat,5,-0.0034591,-0.014447,-0.00072636,0.0047779,-0.0088657,-0.0054376,0.010223,-0.0099593,-0.0058427,-0.0027637
AlexEmma_004337800_00000024.mat,5,-0.0047034,-0.016298,-0.011974,0.0045396,-0.0085837,0.0063528,0.011891,-0.011375,-0.00745,0.0017079
AlexEmma_004507280_00000022.mat,5,-0.00071534,0.012052,0.007265,-0.0057556,-0.0011081,-0.0018356,-0.003466,0.0035671,0.0014587,0.0043781
AlexEmma_005143680_00000007.mat,5,-0.0011892,-0.018966,-0.00015518,0.001524,-0.01409,-0.0062899,-0.0019066,-0.014742,0.0010654,0.0010781
AlexEmma_011145880_00000014.mat,5,-9.81E-05,-0.0026772,0.010427,-0.0025728,-0.0045085,0.00032919,-0.00064829,0.01008,-0.0052596,0.0021795
AlexEmma_011937240_00000012.mat,5,-0.00057591,0.016651,-0.00024664,-0.0016637,-0.0048916,-0.001116,0.0051599,0.0030518,0.0042334,0.0055233
Bridesmaids_000609720_00000033.mat,5,-0.0045569,-0.013136,0.0017143,-0.00023396,0.011179,-0.011999,-0.00062746,0.0095009,-0.00034664,-6.14E-05
Bridesmaids_011244360_00000039.mat,5,-0.002425,-0.018471,-0.0079811,-0.0075867,-0.0039676,0.002598,0.0056247,-0.0018001,0.0013761,-0.0065138
Bridesmaids_014603040_00000001.mat,5,-0.0044441,0.0019116,-0.0088479,0.00071077,-0.0051132,-0.001484,0.01361,0.0030231,0.0049774,-0.0038089
Contraband_010623080_00000029.mat,5,-0.0023085,0.023151,0.0026594,-0.013399,-0.0010346,-0.00012355,0.0025452,-0.00093262,0.011846,0.0094742
Contraband_010630520_00000007.mat,5,0.0051422,0.028953,0.0054691,-0.01071,-0.0055698,0.0010144,-0.0014168,0.0044842,0.011224,0.0041488
CryingGame_003044960_00000024.mat,5,7.60E-05,0.0079293,0.0063372,-0.0058265,-0.0038237,-0.0033486,0.006356,-0.0047147,0.0027226,0.0031308
CryingGame_011616600_00000024.mat,5,-0.0032819,0.023218,-0.0020511,-0.0054502,0.0025965,0.0082377,-0.0047752,0.0018058,0.00033552,0.00035308
DecemberBoys_001244640_00000006.mat,5,0.0031141,0.010828,0.0094458,-0.015386,-0.0034354,0.008274,-0.0071384,-0.0022802,-0.0012044,0.0023985
DecemberBoys_001851200_00000043.mat,5,-0.0019132,-0.0045796,0.007536,-0.0032536,0.0043552,-0.00040493,-0.010941,0.0042801,-0.0039876,-0.0036616
DecemberBoys_001924200_00000011.mat,5,-0.0042668,-0.014617,0.0018994,0.0035661,0.013182,-0.010055,-0.0035335,0.00071689,-0.00040021,0.0018085
DecemberBoys_002006160_00000047.mat,5,-0.002447,-0.0047255,-0.0026933,-3.71E-05,0.0072202,0.0078434,-0.0092081,0.00090029,0.0057647,-0.0034706
DecemberBoys_002006160_00000052.mat,5,-0.0045802,-0.013111,0.016608,0.0096072,0.0043723,0.0029222,-0.0072299,-0.0046743,0.0050071,0.00012049
DecemberBoys_002024000_00000025.mat,5,-0.00024343,-0.0036915,0.0049662,-0.0074238,0.00012039,-0.0044296,-0.0041783,0.0047367,0.00022108,0.0025311
DecemberBoys_002334640_00000001.mat,5,-0.0037251,-0.02793,0.0046725,-0.0057812,0.0077325,-0.0030048,0.0036122,0.006378,-0.011214,-0.00060846
DecemberBoys_002852720_00000019.mat,5,-2.22E-05,0.022246,0.011854,-0.0011936,-0.012209,0.0063175,-0.00324,0.0013175,0.0059535,-0.00024083
DecemberBoys_003134880_00000021.mat,5,-0.0015294,-0.0045393,-0.012272,-0.0057714,-0.0087837,0.0025416,0.0010084,0.00070004,0.0047887,-0.0044284
DecemberBoys_003708960_00000039.mat,5,-0.0019516,0.0062776,-0.00078192,-0.0019043,-0.0066687,0.0072471,0.011991,0.00045485,-0.0088636,0.00092449
DecemberBoys_004141880_00000001.mat,5,0.0016931,0.018702,0.00015069,-0.0077041,0.0011303,-0.0025187,-0.0033285,-0.007042,0.0033691,0.0074738
DeepBlueSea_000434080_00000034.mat,5,-0.0014778,0.018208,0.010933,0.0025245,-0.0026826,-0.0035588,-0.009022,-0.0051108,-2.04E-05,-0.00040869
DeepBlueSea_000744200_00000010.mat,5,-0.00048365,0.014452,-0.0050841,-0.0077726,0.0072285,-0.0037835,-0.0070905,-0.00044177,-0.00043027,-0.0034459
DeepBlueSea_005733200_00000099.mat,5,-0.0011015,0.015248,0.0055924,-0.0012749,-0.0043136,0.0061608,-0.0071723,0.0014482,0.0018977,0.0029683
DeepBlueSea_012724800_00000004.mat,5,-0.0011043,-0.0076959,0.01367,-0.0036917,0.0013781,0.0022607,-0.0036947,0.0055104,0.0010957,0.0013369
GhostShip_011515080_00000001.mat,5,-0.0015463,0.0046551,0.0025371,-0.0071134,-0.0044418,0.0075457,-0.00075912,0.0039264,0.0010086,-0.0015611
GhostShip_011515080_00000012.mat,5,-0.0021082,0.0056453,0.0016047,-0.0079449,-0.0033309,0.007931,0.0018992,0.0047028,-0.0042866,-0.0024206
GhostShip_011758680_00000001.mat,5,-0.0015212,-0.0020645,-0.0043529,-0.0093139,0.0065143,-0.0066073,0.00078146,-0.00024724,0.00079935,0.0038902
GirlWithAPearlEarring_001757000_00000042.mat,5,-0.0028888,-0.0083356,0.0037756,0.0075246,-0.0011769,-0.0065788,-0.0064299,0.0092314,-0.00084927,0.0016531
GirlWithAPearlEarring_004448480_00000034.mat,5,-0.0044531,-0.0037677,-0.017272,0.0030922,0.00059812,-0.0069121,-0.0026794,0.012558,0.0032613,0.00033751
HalfLight_003132520_00000021.mat,5,-0.0043866,-0.015903,-0.00020653,-0.00016964,-0.0032975,0.004559,0.0091881,-0.00085357,0.0080434,-0.0062989
HalfLight_003139560_00000030.mat,5,-0.0027451,-0.025121,-0.0056297,0.0029741,-0.00041232,-0.0015405,0.004004,0.00027206,-0.0010596,-0.0050332
HarryPotterAndOrderOPhoenix_002214494_00000001.mat,5,-0.0061908,-0.0092527,-0.023404,0.011053,0.0039666,-0.0097562,0.0041813,0.010094,0.00091958,5.40E-05
HarryPotterAndOrderOPhoenix_002614174_00000021.mat,5,-0.0058571,0.0026667,-0.013178,0.0038519,0.010447,0.0012361,-0.0088923,0.00434,0.0018802,-0.0059726
HarryPotterAndOrderOPhoenix_010247814_00000007.mat,5,-0.0011844,-0.00096352,0.002769,-0.0021071,-0.017691,0.0077554,0.013488,-0.0012067,0.0027388,0.0018376
HarryPotterAndOrderOPhoenix_010247814_00000063.mat,5,-0.0043653,-0.0032741,0.001456,0.0074932,0.0020979,-0.011893,0.0077148,0.0026568,0.0011098,0.015007
HarryPotter_Deathly_Hallows_1_003239120_00000001.mat,5,-0.0052354,-0.0041037,-0.01136,0.0011127,0.0036597,0.010377,0.0026573,-0.0028167,0.0049401,0.0020896
HarryPotter_Deathly_Hallows_1_003315480_00000004.mat,5,-0.0043964,-0.003763,-0.012184,0.0020758,0.00075279,0.010894,0.0075298,-0.001872,0.0016366,-0.0022851
HarryPotter_Deathly_Hallows_1_004552400_00000001.mat,5,-0.0055802,0.010972,-0.01584,0.010099,0.001222,0.0021778,0.0066991,0.0062352,-0.0002668,-0.0042426
HarryPotter_Deathly_Hallows_1_011034640_00000039.mat,5,-0.0011654,0.0022584,-0.00572,-0.0058721,-0.0023509,0.0099388,0.00021281,0.0026903,0.0046733,-0.0053518
HarryPotter_Deathly_Hallows_2_000325200_00000001.mat,5,-0.0022666,-0.006449,0.0030725,-0.0008236,0.012171,0.0027667,-0.0048992,0.004844,-0.010799,-0.002482
HarryPotter_Deathly_Hallows_2_000406280_00000001.mat,5,-0.00061676,-0.0013754,0.011268,0.0045015,0.0087739,-0.005276,-0.0063985,0.0042456,-0.00083502,-0.0010006
HarryPotter_Deathly_Hallows_2_000645280_00000001.mat,5,-0.0028216,0.018344,0.0020729,-0.0077515,0.0054273,-0.00017874,-0.0033821,0.0090096,0.0021052,0.0055153
HarryPotter_Deathly_Hallows_2_000755040_00000001.mat,5,-0.00091192,0.017679,7.10E-05,-0.0074715,0.0039824,-0.0029827,-0.0033187,0.0072901,0.0027177,0.00040563
HarryPotter_Half_Blood_Prince_000029301_00000004.mat,5,-0.0032673,0.0032693,-0.00015297,0.0028089,0.0037616,0.00012525,0.0052086,0.0069198,0.009644,-7.49E-05
HarryPotter_Half_Blood_Prince_002404654_00000021.mat,5,-0.0019793,0.018638,-0.0016851,-0.006671,0.0051635,-0.0058152,0.00018521,0.0060799,0.0017663,0.011129
HarryPotter_Half_Blood_Prince_003934614_00000048.mat,5,-0.0069619,0.016794,0.012502,0.023709,0.0081636,0.01128,0.0044237,0.0085343,0.0091473,-0.0004662
HarryPotter_Half_Blood_Prince_005739894_00000001.mat,5,-0.0070557,-0.0049335,-0.023511,0.02226,-0.010823,-0.0024879,-0.0031415,-0.0086209,-0.0025965,-0.0020352
HarryPotter_Half_Blood_Prince_010441854_00000005.mat,5,-0.003956,0.014126,-0.0092929,0.0022509,0.0086041,-0.0072675,-0.0065378,0.0017738,2.58E-05,-0.0074337
HarryPotter_Half_Blood_Prince_010827774_00000044.mat,5,-0.006939,0.013141,-0.014232,0.0058287,-0.0013079,0.010647,-0.0057928,-7.55E-05,-0.0065604,0.0065937
HarryPotter_PhilosopherStone_001030334_00000092.mat,5,-0.0021737,-0.024661,-0.010547,0.0047547,-0.0019709,-0.0077273,0.0091725,0.0056232,-0.0029493,0.0088522
HarryPotter_PhilosopherStone_001449174_00000079.mat,5,0.0013367,0.031802,0.0079685,-0.0077561,-0.0026761,0.0014193,-0.0041675,0.00092628,0.00021378,0.00069661
IAmSam_004235880_00000004.mat,5,-0.0037498,-0.0079387,0.015659,-0.0010055,0.0028581,-0.0029757,-0.0035623,0.0036888,0.00099079,0.0018533
ItsComplicated_002640847_00000053.mat,5,0.0011517,-0.00023955,0.010044,0.0070819,-0.0046907,-0.006585,-0.0033166,0.0033404,0.0016648,-0.00011505
ItsComplicated_005808207_00000001.mat,5,0.00034873,-0.011033,0.0058814,-0.0074397,-0.0056258,-0.0028325,0.0031615,-0.003531,-0.0032251,0.0016726
ItsComplicated_010404607_00000013.mat,5,-0.0019721,0.013905,-0.0082351,-0.0014945,-0.002523,0.0070556,0.0069653,0.0001311,-0.015855,-0.0055139
ItsComplicated_013107767_00000001.mat,5,-0.0020568,-0.0016099,-0.0062394,-0.0081458,0.0041585,-0.00016769,0.0016535,0.0046974,-0.0042432,-0.0044925
ItsComplicated_013152487_00000001.mat,5,4.37E-05,0.030092,0.006323,0.0039471,-0.0012255,0.0033445,0.002188,0.0051281,0.010201,-0.0024268
JennifersBody_012233486_00000001.mat,5,0.00084031,0.004216,-0.0039207,0.0001247,-0.0056608,-4.93E-05,0.0046348,0.0066159,0.0034861,-0.0032279
Juno_001030280_00000011.mat,5,-0.0037565,-0.010519,-0.0046154,0.0034485,0.0043702,0.00077239,0.00040691,0.0086176,-0.0055615,-0.0010501
Juno_001030280_00000089.mat,5,-0.0032873,-0.013954,-0.0022484,0.0028679,0.0016851,-0.0029858,0.0024643,0.0048812,-0.0024721,-0.0057048
Juno_001042480_00000002.mat,5,-0.0042033,-0.011424,-0.00068377,0.0055788,0.0017626,-0.0030389,-0.0024304,0.0028763,0.0033712,-0.0038926
Juno_004717160_00000044.mat,5,-0.0025618,-0.0028127,0.0023826,0.0014118,0.0014484,0.0095078,0.0069281,0.003101,0.0070945,-0.0022601
Juno_010702360_00000005.mat,5,-0.0017023,-0.0036629,0.0010567,-0.0080552,0.0028838,-0.0018041,-0.0036934,-0.0059965,0.00030895,-0.00413
Juno_010826280_00000076.mat,5,-0.0013526,-0.0028371,0.0033457,-0.0057682,-0.00039298,0.0065076,-0.0039203,-0.00070224,-0.0062958,-0.0028649
Juno_011559400_00000001.mat,5,-0.0054447,0.0023487,-0.0074005,0.014545,-0.0010655,-0.0009085,0.0067276,0.004477,0.0066327,-0.0062811
Juno_011622200_00000103.mat,5,-0.0025542,0.010957,0.00022702,-0.00091541,-0.0025775,0.0045434,-0.0028472,-0.0032507,0.003338,-0.0027365
Juno_011833760_00000001.mat,5,-0.0047039,-0.018959,-0.0021496,0.0093841,0.0062461,-0.018409,0.0014358,0.003923,0.0014307,-0.0041605
Juno_011845440_00000013.mat,5,-0.0041676,-0.015396,-0.0078019,0.0091569,0.0011677,-0.017617,-0.00052953,0.0023999,0.0012709,-0.0090114
LittleManhattan_004353174_00000001.mat,5,-0.0021242,-0.027585,0.018935,0.0024846,0.0030966,-0.0094522,-0.0065147,-0.0024803,-0.0022428,-0.0083787
LittleManhattan_010156083_00000001.mat,5,-0.0046523,-0.0076612,6.31E-05,-0.0035724,0.012838,0.0013076,0.010269,0.0035392,-0.00092811,0.0028279
LittleManhattan_010258723_00000031.mat,5,0.0070422,-0.034789,0.0028696,0.0058564,-0.0045799,-0.013096,0.0045703,0.0016767,0.00053551,-0.0072017
LittleManhattan_011743763_00000011.mat,5,-0.0057871,-0.016501,-0.0019028,0.01212,0.0011339,-0.013232,0.010486,0.0025965,-8.44E-05,0.0050462
MissMarch_000546640_00000065.mat,5,-0.0045836,-0.0085453,-0.011236,0.014802,-0.0041236,-0.0083213,0.0018686,0.013952,-0.0038206,-0.0076081
MissMarch_001648000_00000001.mat,5,-0.0035963,0.013874,-0.0012722,0.0010876,-0.0047625,0.0045956,-0.011312,0.00049549,0.0047773,-0.0055392
MissMarch_001928280_00000069.mat,5,-0.002586,0.00050684,-0.0087993,-0.0058014,-0.0038708,0.0018445,0.0079258,0.008431,-0.0014934,-0.0035911
MissMarch_003609600_00000040.mat,5,-0.0028826,-0.0055232,-0.0031221,0.0067955,-0.00049291,0.0044387,0.0026637,-0.001671,-0.0036329,-0.0010698
MissMarch_003648600_00000072.mat,5,-0.003011,-0.0083392,-0.0037684,6.76E-05,-0.00068194,0.001754,0.0025153,0.0012011,-0.0053934,-0.0024626
MissMarch_004011240_00000014.mat,5,-0.0014656,-0.019777,-0.0056932,-0.0098664,-0.0015253,0.0016511,0.00057461,-0.0073374,-0.002835,-0.0083947
MissMarch_004339240_00000027.mat,5,-0.0035291,-0.0015597,0.0058789,-0.00032365,0.0089204,0.0034338,-0.0072992,-0.0051581,-0.0018869,-0.0036547
MissMarch_005244360_00000007.mat,5,-0.0042859,0.00066221,-0.010062,0.0063947,-0.0020521,-0.0012442,-0.00605,0.0023561,-0.0012499,-0.002854
NanyDiaries_001456320_00000050.mat,5,-0.0030018,0.0024174,0.0014454,-0.0031078,0.0092491,0.00512,-0.0013353,0.0035723,0.0019756,-0.0026953
NanyDiaries_002901240_00000031.mat,5,-0.0039071,0.012321,-0.005253,0.0038601,0.0059041,-0.0071955,-0.0035911,-0.0025078,0.0021413,-0.0050134
NanyDiaries_002901240_00000074.mat,5,-0.0028378,-0.0087216,0.00080853,-0.0016512,0.010553,0.0078155,-0.003838,0.0038281,0.0071893,-0.0056997
NanyDiaries_004211440_00000034.mat,5,-0.0029333,-0.0020391,-0.010674,-0.0016062,0.0066207,-0.015097,0.0043298,0.0064867,0.0055554,-0.0012997
NanyDiaries_013247840_00000002.mat,5,-0.0014738,-0.018307,0.024684,0.0073452,-0.0051405,-0.0035992,-0.010337,-0.0049102,0.0060465,-0.0042732
NotSuitableForChildren_003707080_00000004.mat,5,-0.0045566,-0.027337,0.012623,0.0013984,0.00044549,0.0033317,0.0027144,0.0044872,0.001742,-0.0023188
OceansEleven_000509960_00000072.mat,5,-0.0024614,0.045519,0.003165,0.0050778,-0.0081448,-2.98E-05,-0.0076422,0.0027609,0.0047627,-0.005594
OceansEleven_003701120_00000002.mat,5,-0.002568,0.013918,-0.012533,0.0081531,-0.0028004,-0.013025,-0.0036927,0.008089,0.00031059,-0.0095947
OceansEleven_003853320_00000034.mat,5,-0.0024573,0.030169,0.0081733,-0.0026677,0.0081124,-0.0002135,-0.011826,-0.002617,0.0022997,0.0037338
AlexEmma_003716360_00000040.mat,6,-0.0014075,-0.023225,0.0014533,0.0018251,-0.0082191,0.002629,0.012411,0.0048403,0.00046869,-0.0014569
AlexEmma_004117920_00000035.mat,6,-0.0028238,-0.0022013,-0.0041047,0.0027861,0.0062611,0.011053,0.0030271,0.0013459,0.0030233,0.0010693
AlexEmma_004507280_00000060.mat,6,-0.0040179,0.018701,0.0023133,-0.0051172,0.0010611,0.0028487,-0.0038099,0.003079,-0.00027899,0.004732
AlexEmma_004507280_00000083.mat,6,-0.0010339,0.014107,0.0057308,-0.0043716,-0.0017651,0.0054678,-0.0082819,0.002778,-0.0010797,0.0030579
AlexEmma_012652960_00000060.mat,6,-0.0021798,-0.014158,0.0043476,-0.0096384,0.0007468,0.0089885,0.00064325,0.0066986,-0.0032381,-0.0012474
AlexEmma_012701000_00000070.mat,6,0.0003923,-0.031769,0.025714,0.023259,-0.0046923,-0.010191,-0.0046984,0.0050242,-0.0010686,-0.0039462
Bridesmaids_001249280_00000001.mat,6,-0.0012153,-0.024803,-0.0019104,-0.0037527,-0.0085742,-0.017221,-9.28E-05,-0.0024201,0.0022265,-0.0022892
Bridesmaids_002111840_00000001.mat,6,-0.0025359,-0.011434,6.56E-05,-0.0018722,-0.00057847,-0.0064146,0.0085141,0.0097053,0.0011557,-0.0021884
Bridesmaids_010123320_00000053.mat,6,-0.003998,-0.012281,-0.00012052,0.0045666,0.0061175,-0.0098212,0.0051132,-0.0027073,0.0040661,0.00092851
Bridesmaids_012949160_00000001.mat,6,-0.0049932,-0.013168,-0.01723,-0.0046734,-0.001025,0.0075134,0.0028261,-0.0048306,-0.00014387,0.0065932
Bridesmaids_012949160_00000012.mat,6,-0.0045956,-0.012419,-0.017366,-0.0026384,0.00039476,0.0065651,0.0021902,-0.0019646,0.0006877,0.0082856
